01-07 11:15:20.987 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:102, height:102, area:2 
01-07 11:15:21.877 D/roobosmart( 5773):  head[1-0] x:799, y:284, width:99, height:99, area:2 
01-07 11:15:22.497 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:103, height:103, area:2 
01-07 11:15:23.917 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:102, height:102, area:2 
01-07 11:15:24.497 D/roobosmart( 5773):  head[1-0] x:801, y:285, width:97, height:97, area:2 
01-07 11:15:24.997 D/roobosmart( 5773):  head[1-0] x:804, y:288, width:93, height:93, area:2 
01-07 11:15:26.107 D/roobosmart( 5773):  head[1-0] x:800, y:283, width:100, height:100, area:2 
01-07 11:15:26.947 D/roobosmart( 5773):  head[1-0] x:797, y:283, width:104, height:104, area:2 
01-07 11:15:27.547 D/roobosmart( 5773):  head[1-0] x:800, y:284, width:101, height:101, area:2 
01-07 11:15:28.077 D/roobosmart( 5773):  head[1-0] x:796, y:283, width:105, height:105, area:2 
01-07 11:15:28.967 D/roobosmart( 5773):  head[1-0] x:797, y:284, width:103, height:103, area:2 
01-07 11:15:29.567 D/roobosmart( 5773):  head[1-0] x:799, y:283, width:103, height:103, area:2 
01-07 11:15:30.127 D/roobosmart( 5773):  head[1-0] x:799, y:284, width:99, height:99, area:2 
01-07 11:15:30.967 D/roobosmart( 5773):  head[1-0] x:800, y:286, width:98, height:98, area:2 
01-07 11:15:31.667 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:102, height:102, area:2 
01-07 11:15:32.197 D/roobosmart( 5773):  head[1-0] x:801, y:286, width:96, height:96, area:2 
01-07 11:15:33.097 D/roobosmart( 5773):  head[1-0] x:798, y:284, width:103, height:103, area:2 
01-07 11:15:33.727 D/roobosmart( 5773):  head[1-0] x:804, y:288, width:90, height:90, area:2 
01-07 11:15:34.247 D/roobosmart( 5773):  head[1-0] x:798, y:283, width:101, height:101, area:2 
01-07 11:15:35.137 D/roobosmart( 5773):  head[1-0] x:800, y:284, width:99, height:99, area:2 
01-07 11:15:35.767 D/roobosmart( 5773):  head[1-0] x:801, y:286, width:96, height:96, area:2 
01-07 11:15:36.587 D/roobosmart( 5773):  head[1-0] x:801, y:284, width:96, height:96, area:2 
01-07 11:15:37.127 D/roobosmart( 5773):  head[1-0] x:800, y:284, width:99, height:99, area:2 
01-07 11:15:37.717 D/roobosmart( 5773):  head[1-0] x:799, y:285, width:100, height:100, area:2 
01-07 11:15:38.257 D/roobosmart( 5773):  head[1-0] x:797, y:284, width:102, height:102, area:2 
