20161215 10:16:45 already connect wifi
20161215 10:17:15 =================== testtimes : 1 ===================
20161215 10:17:18 download size: 207055942 , total size: 289382033
20161215 10:17:23 download size: 212082688 , total size: 289382033
20161215 10:17:28 download size: 222929998 , total size: 289382033
20161215 10:17:34 download size: 228037094 , total size: 289382033
20161215 10:17:39 download size: 241566246 , total size: 289382033
20161215 10:17:44 download size: 251393326 , total size: 289382033
20161215 10:17:49 download size: 256563238 , total size: 289382033
20161215 10:17:54 download size: 264369518 , total size: 289382033
20161215 10:18:00 download size: 272086382 , total size: 289382033
20161215 10:18:06 download size: 281329286 , total size: 289382033
20161215 10:18:11 download size: 288110622 , total size: 289382033
20161215 10:18:16 download size: 289382033 , total size: 289382033
20161215 10:18:32 8e5bcc8cfd12b0e1381d1cbc6bd72a06  /sdcard/Download/update-0760d375-6092-47d9-b.zip
20161215 10:18:32 default md5 is: FDFF8E3F25ACDFC47F55E22627F969D0 , download file md5 is: 8e5bcc8cfd12b0e1381d1cbc6bd72a06
